"Var1" "Var2" "type"
"672" "712" "708" "SG"
"673" "709" "708" "SG"
"674" "723" "708" "SG"
"675" "724" "708" "SG"
"676" "780" "708" "SG"
"677" "657" "732" "SG"
"678" "675" "732" "SG"
"679" "678" "732" "SG"
"680" "651" "732" "SG"
"681" "669" "732" "SG"
"682" "702" "732" "SG"
"683" "700" "732" "SG"
"684" "704" "732" "SG"
"685" "697" "732" "SG"
"686" "720" "732" "SG"
"687" "665" "732" "SG"
"688" "653" "732" "SG"
"689" "661" "732" "SG"
"690" "682" "732" "SG"
"691" "663" "732" "SG"
"692" "673" "732" "SG"
"693" "737" "732" "SG"
"694" "679" "732" "SG"
"695" "666" "732" "SG"
"696" "695" "732" "SG"
"697" "685" "732" "SG"
"698" "771" "732" "SG"
"699" "715" "732" "SG"
"700" "765" "732" "SG"
"701" "667" "732" "SG"
"702" "775" "732" "SG"
"703" "761" "732" "SG"
"704" "689" "732" "SG"
"705" "773" "732" "SG"
"706" "659" "732" "SG"
"707" "671" "732" "SG"
"708" "774" "732" "SG"
"709" "731" "732" "SG"
"710" "692" "732" "SG"
"711" "706" "732" "SG"
"712" "793" "732" "SG"
"713" "785" "732" "SG"
"714" "772" "732" "SG"
"715" "754" "732" "SG"
"716" "730" "732" "SG"
"717" "760" "732" "SG"
"718" "790" "732" "SG"
"719" "794" "732" "SG"
"720" "788" "732" "SG"
"721" "783" "732" "SG"
"722" "784" "732" "SG"
"723" "776" "732" "SG"
"724" "712" "732" "SG"
"725" "709" "732" "SG"
"726" "723" "732" "SG"
"727" "724" "732" "SG"
"728" "780" "732" "SG"
"729" "657" "662" "SG"
"730" "675" "662" "SG"
"731" "678" "662" "SG"
"732" "651" "662" "SG"
"733" "669" "662" "SG"
"734" "702" "662" "SG"
"735" "700" "662" "SG"
"736" "704" "662" "SG"
"737" "697" "662" "SG"
"738" "720" "662" "SG"
"739" "665" "662" "SG"
"740" "653" "662" "SG"
"741" "661" "662" "SG"
"742" "682" "662" "SG"
"743" "663" "662" "SG"
"744" "673" "662" "SG"
"745" "737" "662" "SG"
"746" "679" "662" "SG"
"747" "666" "662" "SG"
"748" "695" "662" "SG"
"749" "685" "662" "SG"
"750" "771" "662" "SG"
"751" "715" "662" "SG"
"752" "765" "662" "SG"
"753" "667" "662" "SG"
"754" "775" "662" "SG"
"755" "761" "662" "SG"
"756" "689" "662" "SG"
"757" "773" "662" "SG"
"758" "659" "662" "SG"
"759" "671" "662" "SG"
"760" "774" "662" "SG"
"761" "731" "662" "SG"
"762" "692" "662" "SG"
"763" "706" "662" "SG"
"764" "793" "662" "SG"
"765" "785" "662" "SG"
"766" "772" "662" "SG"
"767" "754" "662" "SG"
"768" "730" "662" "SG"
"769" "760" "662" "SG"
"770" "790" "662" "SG"
"771" "794" "662" "SG"
"772" "788" "662" "SG"
"773" "783" "662" "SG"
"774" "784" "662" "SG"
"775" "776" "662" "SG"
"776" "712" "662" "SG"
"777" "709" "662" "SG"
"778" "723" "662" "SG"
"779" "724" "662" "SG"
"780" "780" "662" "SG"
"781" "657" "725" "SG"
"782" "675" "725" "SG"
"783" "678" "725" "SG"
"784" "651" "725" "SG"
"785" "669" "725" "SG"
"786" "702" "725" "SG"
"787" "700" "725" "SG"
"788" "704" "725" "SG"
"789" "697" "725" "SG"
"790" "720" "725" "SG"
"791" "665" "725" "SG"
"792" "653" "725" "SG"
"793" "661" "725" "SG"
"794" "682" "725" "SG"
"795" "663" "725" "SG"
"796" "673" "725" "SG"
"797" "737" "725" "SG"
"798" "679" "725" "SG"
"799" "666" "725" "SG"
"800" "695" "725" "SG"
"801" "685" "725" "SG"
"802" "771" "725" "SG"
"803" "715" "725" "SG"
"804" "765" "725" "SG"
"805" "667" "725" "SG"
"806" "775" "725" "SG"
"807" "761" "725" "SG"
"808" "689" "725" "SG"
"809" "773" "725" "SG"
"810" "659" "725" "SG"
"811" "671" "725" "SG"
"812" "774" "725" "SG"
"813" "731" "725" "SG"
"814" "692" "725" "SG"
"815" "706" "725" "SG"
"816" "793" "725" "SG"
"817" "785" "725" "SG"
"818" "772" "725" "SG"
"819" "754" "725" "SG"
"820" "730" "725" "SG"
"821" "760" "725" "SG"
"822" "790" "725" "SG"
"823" "794" "725" "SG"
"824" "788" "725" "SG"
"825" "783" "725" "SG"
"826" "784" "725" "SG"
"827" "776" "725" "SG"
"828" "712" "725" "SG"
"829" "709" "725" "SG"
"830" "723" "725" "SG"
"831" "724" "725" "SG"
"832" "780" "725" "SG"
"833" "657" "752" "SG"
"834" "675" "752" "SG"
"835" "678" "752" "SG"
"836" "651" "752" "SG"
"837" "669" "752" "SG"
"838" "702" "752" "SG"
"839" "700" "752" "SG"
"840" "704" "752" "SG"
"841" "697" "752" "SG"
"842" "720" "752" "SG"
"843" "665" "752" "SG"
"844" "653" "752" "SG"
"845" "661" "752" "SG"
"846" "682" "752" "SG"
"847" "663" "752" "SG"
"848" "673" "752" "SG"
"849" "737" "752" "SG"
"850" "679" "752" "SG"
"851" "666" "752" "SG"
"852" "695" "752" "SG"
"853" "685" "752" "SG"
"854" "771" "752" "SG"
"855" "715" "752" "SG"
"856" "765" "752" "SG"
"857" "667" "752" "SG"
"858" "775" "752" "SG"
"859" "761" "752" "SG"
"860" "689" "752" "SG"
"861" "773" "752" "SG"
"862" "659" "752" "SG"
"863" "671" "752" "SG"
"864" "774" "752" "SG"
"865" "731" "752" "SG"
"866" "692" "752" "SG"
"867" "706" "752" "SG"
"868" "793" "752" "SG"
"869" "785" "752" "SG"
"870" "772" "752" "SG"
"871" "754" "752" "SG"
"872" "730" "752" "SG"
"873" "760" "752" "SG"
"874" "790" "752" "SG"
"875" "794" "752" "SG"
"876" "788" "752" "SG"
